ref	value	footprint	Field1	Field2	Field3	Field4	Field5	Field6	Field7	Field8
ANT1	SL1200	SL1200
BATT1	COINCELL	2032HOLDER	1704232
C1	100n	SM0402	1828862
C2	1µ	SM0402	1288253
C3	10µ	SM0603	1735528
C4	100n	SM0402	1828862
C5	4µ7	SM0603	1833803
C6	15p	SM0402	1414577
C7	6p8	SM0402	1800799
C8	10µ	SM0603	1735528
C9	10µ	SM0603	1735528
C10	10µ	SM0603	1735528
C11	4µ7	SM0603	1833803
C12	100n	SM0402	1828862
C13	100n	SM0402	1828862
C14	1µ	SM0402	1288253
C15	4µ7	SM0603	1833803
C16	1µ	SM0402	1288253
C17	1µ	SM0402	1288253
C18	4700µ	RADIAL-5	1219459
C19	100n	SM0402	1828862
C20	10n	SM0402	1740589
C21	10n	SM0402	1740589
C22	1µ	SM0402	1288253
C23	3p3	SM0402	1702752
C24	100n	SM0402	1828862
C25	100n	SM0402	1828862
C26	100n	SM0402	1828862
C27	100n	SM0402	1828862
C28	4µ7	SM0603	1833803
C29	10n	SM0402	1740589
C30	680p	SM0402	1865453
C31	12n	SM0402	1865461
C32	270p	SM0402	1414585
C33	22n	SM0402	1414583
C34	10n	SM0402	1740589
C35	470n	SM0402	1414593
C36	8p2	SM0402	7568118
C37	2µ2	SM0603	1833808
C38	2µ2	SM0603	1833808
C39	2µ2	SM0603	1833808
C40	26p	SM0402	1414584
C41	3p3	SM0402	1702752
C42	470p	SM0402	1535556
C43	26p	SM0402	1414584
C44	100n	SM0402	1828862
C45	5p1	SM0402	1885321
C46	5p1	SM0402	1885321
C47	10n	SM0402	1740589
C48	10µ	SM0603	1735528
C49	100n	SM0402	1828862
C50	100n	SM0402	1828862
D1	USBLC6-2	SOT-666	1295310
D2	USBLC6-2	SOT-666	1295310
D3	LED	SM0603	8529850
D4	LED	SM0603	8529850
D5	LED	SM0603	8529850
D6	LED	SM0603	8529850
IC1	MCP73831	SOT-23-5	1332158
IC2	TPS61201	TPS61201	1564952
IC3	24AA32A	MSOP8	1331296
IC4	TPS76933DBVT	SOT-23-5	8461538
IC5	TC1016	SOT-23-5	1825051
IC6	TMP102	SOT-563	1652477
IC7	ADF7012	TSSOP24	1346367
IC8	STM32F405RGT6	LQFP64	2064363
L1	2µ2	SM0805	1265551
L2	22n	SM0402	1669580
L3	6n8	SM0402	1669586
L4	FB	SM0603	1515757
L5	22n	SM0402	1669580
L6	27n	SM0402	1265429
L7	22n	SM0402	1669580
L8	22n	SM0402	1669580
L9	6n2	SM0402	1265407
P1	LiPo	JST-2mm-2	9492615
P2	TST	TP
P3	BATT	BLOCK-3.5mm-2	1098611
P4	TST	TP
P5	TST	TP
P6	TST	TP
P7	TST	TP
P8	TST	TP
P9	TST	TP
P10	TST	TP
P11	TST	TP
P12	TST	TP
P13	PYRO	BLOCK-3.5mm-2	1098611
P14	TST	TP
P15	TST	TP
P16	TST	TP
P17	TST	TP
P18	TST	TP
P19	TST	TP
P20	TST	TP
P21	TST	TP
P22	TST	TP
P23	TST	TP
P24	CONN_6	HEADER_SMD_6WAY	9689508
P25	TST	TP
P26	CONN_5X2	HEADER_SMD_2X5WAY	1865279
Q1	MOSFET_N	SOT-23-3	1758067
R1	12R	SM0402	1697293
R2	10k	SM0402	1738864
R3	22	SM0402	1739071
R4	2k	SM0402	1358050
R5	8k2	SM0402	1739106
R6	22	SM0402	1739071
R7	1M1	SM0402	1458741
R8	100k	SM0402	1738877
R9	100R	SM0402	1738837
R10	4k7	SM0402	1738858
R11	100R	SM0402	1738837
R12	22k	SM0402	2059243
R13	10k	SM0402	1738864
R14	4k7	SM0402	1738858
R15	15k	SM0402	2059240
R16	10k	SM0402	1738864
R17	10k	SM0402	1738864
R18	10k	SM0402	1738864
R20	22k	SM0402	2059243
R22	1k5	SM0402	2059227
R23	3k3	SM0402	1738856
R24	910	SM0402	1458832
R25	1k	SM0402	1738850
R26	3k6	SM0402	1358057
R27	1k	SM0402	1738850
R28	1k	SM0402	1738850
R29	330	SM0402	1738843
R30	330	SM0402	1738843
R31	1k	SM0402	1738850
R32	330	SM0402	1738843
R33	1k	SM0402	1738850
R34	330	SM0402	1738843
R35	1k	SM0402	1738850
R36	1k	SM0402	1738850
R37	10k	SM0402	1738864
R38	1k	SM0402	1738850
R39	22	SM0402	1739071
R40	22	SM0402	1739071
R41	10k	SM0402	1738864
R42	1k	SM0402	1738850
SJ1	SJ	SJ
SJ2	SJ	SJ
SMA1	SMA_JACK	SMA_JACK_END	1342651
SW1	SW_PUSH	SMDSWITCH	1607971
SW2	SW_PUSH	SMDSWITCH	1607971
U1	NEO6Q	NEO6Q
U2	ALM-1712	ALM-1712	1865149
U3	MICROSD	MICROSD	2060731
USB1	MICROUSB	MICROUSB	1521869
USB2	MICROUSB	MICROUSB	1521869
X1	8MHz	RESONATOR	1615352
X2	4.9152MHz	HC49	1640864
